           Type          Evals       Toggles
       dpoutput         418176         165892
            reg         206814          53376
            sig         261862         111780
      assign_op         591726         188903
         ior_op          28512           4000
         and_op         330110          11939
         shl_op            250            544
         add_op          11006          18615
         sub_op            250            661
      concat_op           9504          15744
        cast_op           1002            510
         neg_op              0              0
         not_op          19008           2504
         sel_op         140302         107412
          eq_op         485742          24379
          ne_op          37064           1902
          lu_op              0              0
       ipoutput         103538           8049
